"var","Up","Up.adjust","Utest_stat","KSp","KSp.adjust","KStest_stat","cv.n","pop.n"
"1","wc2.1_2.5m_prec_03","0","0","13710410352","0","0","0.149166344646291","98643","254618"
"2","wc2.1_2.5m_srad_03","0.032795330114645","0.229567310802515","12500099844","0","0","0.0864226161441938","98643","254618"
"3","wc2.1_2.5m_tavg_03","0","0","10355737299.5","0","0","0.119663278170816","98643","254618"
"4","wc2.1_2.5m_tmax_03","0","0","10579224379","0","0","0.124605175749838","98643","254618"
"5","wc2.1_2.5m_tmin_03","0","0","10140804726","0","0","0.142920569438866","98643","254618"
"6","wc2.1_2.5m_vapr_03","0","0","10467430616.5","0","0","0.167347017885259","98643","254618"
"7","wc2.1_2.5m_wind_03","0.251852524385131","1","12589298825.5","0","0","0.0551135924606168","98643","254618"
